# det nr	max range e_rec (MeV)	par N	par x	par x^2	par x^3	par x^4
80	955	1.0042	5.94642e-05	-1.12099e-07	2.32168e-11	1.17741e-14
81	915	1.00161	8.06756e-05	-1.83423e-07	8.16442e-11	5.13456e-15
82	915	1.00207	7.38473e-05	-1.7554e-07	1.14557e-10	-4.11384e-14
83	835	1.00319	7.94694e-05	-2.17182e-07	1.94835e-10	-9.954e-14
84	765	1.00439	6.60152e-05	-6.59383e-08	-2.55928e-10	2.30183e-13
85	795	1.00232	7.54827e-05	-1.65322e-07	9.80036e-11	-5.62619e-14
86	795	1.00226	8.83013e-05	-2.4241e-07	2.47926e-10	-1.77646e-13
87	685	1.00256	9.01041e-05	-1.79461e-07	-3.79255e-11	9.18812e-14
88	825	1.00071	0.00010296	-2.77231e-07	2.05665e-10	-5.99464e-14
89	715	1.00358	3.48427e-05	3.92873e-08	-3.11967e-10	1.97934e-13
90	685	1.00258	7.10758e-05	-8.91995e-08	-1.52387e-10	7.01714e-14
91	695	1.00457	3.91637e-05	9.04535e-08	-4.88915e-10	2.97762e-13
92	615	1.00105	0.000142988	-5.89289e-07	1.13139e-09	-9.31754e-13
93	635	1.00141	0.000112049	-3.12471e-07	3.7598e-10	-3.35012e-13
94	605	1.00134	0.000126759	-3.66674e-07	3.45116e-10	-1.98764e-13
95	545	1.00285	0.000105672	-2.52263e-07	1.74923e-10	-1.78959e-13
96	445	1.00522	0.0002931	-1.61608e-06	5.07576e-09	-6.70496e-12
97	465	1.00239	0.000322951	-1.6431e-06	4.41846e-09	-5.03691e-12
98	475	1.01032	0.000103685	-6.07739e-08	-3.77827e-10	2.55314e-13
99	465	1.01056	0.00017941	-8.5275e-07	2.14774e-09	-2.77396e-12
100	445	1.00473	0.000344298	-2.32469e-06	7.61317e-09	-9.43626e-12
101	525	1.00889	0.00020143	-1.06087e-06	3.25223e-09	-4.19299e-12
102	485	1.00747	0.000168096	-4.17888e-07	4.29304e-10	-7.03368e-13
103	505	1.00319	0.000251341	-1.00535e-06	2.05089e-09	-2.29786e-12
104	535	1.00287	0.00026756	-1.26319e-06	3.01515e-09	-3.05779e-12
105	545	1.00774	0.000168003	-6.85322e-07	1.58798e-09	-1.76598e-12
106	585	1.00319	0.0002139	-9.5189e-07	2.14196e-09	-2.05779e-12
107	525	1.00523	0.000208834	-8.85038e-07	2.14382e-09	-2.5419e-12
108	515	1.00906	9.23872e-05	7.46594e-08	-9.51815e-10	7.65047e-13
109	595	1.00714	0.000116491	-2.19774e-07	-4.13147e-11	8.92076e-14
110	585	1.00559	0.000258739	-1.29686e-06	2.79199e-09	-2.45302e-12
111	565	1.00416	0.000277546	-1.32097e-06	2.65867e-09	-2.38062e-12
112	695	1.00621	0.000185302	-6.64915e-07	7.93241e-10	-5.05824e-13
113	615	1.00695	0.000138556	-5.08188e-07	7.14966e-10	-5.59147e-13
114	725	1.00443	0.000122188	-4.075e-07	4.78618e-10	-3.04744e-13
115	625	1.00343	0.000200239	-9.13908e-07	1.67833e-09	-1.30921e-12
116	575	1.00395	0.000211254	-1.13441e-06	2.57176e-09	-2.25166e-12
117	675	1.00315	0.000125477	-5.06124e-07	8.87901e-10	-7.22724e-13
118	625	1.00485	0.000136571	-5.44133e-07	9.1929e-10	-7.62705e-13
119	615	1.00386	0.000141485	-6.17073e-07	1.18338e-09	-1.04663e-12
120	765	1.00347	9.73508e-05	-2.68574e-07	2.03258e-10	-1.00484e-13
121	695	1.00504	7.55251e-05	-1.22226e-07	-1.4806e-10	1.50767e-13
122	695	1.00707	0.000105942	-2.77825e-07	8.386e-11	4.83841e-14
123	655	1.00603	8.46597e-05	-1.9442e-07	9.79238e-11	-1.48412e-13
124	625	1.00571	0.000102906	-3.26339e-07	4.09635e-10	-3.79803e-13
125	125	0.970187	0.00262401	-6.93206e-05	7.22758e-07	-2.58003e-09
126	595	1.00796	0.000200391	-1.15346e-06	2.66564e-09	-2.37116e-12
127	575	1.00579	9.51321e-05	-2.28682e-07	7.51675e-11	-3.06173e-14
128	665	1.00985	7.59691e-05	-2.70447e-07	3.19939e-10	-2.47523e-13
129	645	1.00556	9.31694e-05	-3.14879e-07	5.08023e-10	-5.3034e-13
130	655	1.00488	4.95584e-05	5.73232e-08	-4.71672e-10	3.03054e-13
131	575	1.00238	0.000166028	-7.34955e-07	1.56706e-09	-1.51024e-12
132	545	1.00771	6.14276e-05	1.60439e-09	-4.07152e-10	2.67295e-13
133	585	1.00445	0.000100651	-2.90566e-07	4.38813e-10	-4.66063e-13
134	565	1.00214	0.000172915	-8.30888e-07	2.13055e-09	-2.22067e-12
135	505	1.00755	2.93486e-05	4.41993e-07	-1.90996e-09	1.79063e-12
136	585	1.00357	0.000108469	-3.6727e-07	7.25972e-10	-7.91941e-13
137	525	1.00504	6.60628e-05	3.06431e-07	-2.03948e-09	2.3737e-12
138	545	1.00326	0.000140151	-5.62102e-07	1.18609e-09	-1.2921e-12
139	505	1.00652	7.91466e-05	-2.60688e-07	8.65112e-10	-1.38829e-12
140	475	1.0054	0.000127173	-4.76754e-07	1.39933e-09	-2.19631e-12
141	475	1.00766	3.43373e-05	4.96125e-07	-2.57135e-09	2.93317e-12
142	465	1.00277	0.000167611	-8.35954e-07	2.84441e-09	-4.11476e-12
143	455	1.00611	0.000123085	-6.92176e-07	2.55588e-09	-3.90934e-12
144	415	1.00326	0.000487246	-3.76615e-06	1.35245e-08	-1.72724e-11
145	395	1.00055	0.000477961	-3.23557e-06	1.03475e-08	-1.27415e-11
146	435	1.01058	0.000127952	2.87045e-07	-2.22495e-09	1.99825e-12
147	365	0.99759	0.000660256	-5.45325e-06	1.97694e-08	-2.62889e-11
148	335	1.01701	-0.000189214	4.79657e-06	-2.57225e-08	4.03046e-11
149	395	1.0093	0.000287834	-2.16713e-06	8.89394e-09	-1.35144e-11
150	365	1.00296	0.000377186	-2.6926e-06	1.03502e-08	-1.53335e-11
151	365	1.0085	0.000212883	-4.76892e-07	1.69851e-09	-5.64841e-12
152	415	1.01212	0.000234308	-1.39587e-06	5.10764e-09	-7.84994e-12
153	415	1.00163	0.00048589	-3.33609e-06	1.10118e-08	-1.39645e-11
154	415	1.00574	0.000341332	-1.95445e-06	5.95432e-09	-7.51196e-12
155	385	1.01244	8.40751e-05	6.80036e-07	-2.94494e-09	1.13843e-12
156	365	1.01241	0.000150257	-6.92106e-07	4.17803e-09	-9.71501e-12
157	395	1.00741	0.000258194	-1.19667e-06	3.72802e-09	-5.75574e-12
158	365	1.00269	0.00042903	-2.93119e-06	1.04883e-08	-1.48946e-11
159	365	1.00192	0.000559794	-4.94885e-06	2.07536e-08	-3.13178e-11
160	415	1.00733	0.00016338	6.94701e-08	-1.56932e-09	1.40728e-12
161	415	1.00516	0.000346744	-2.37766e-06	8.5221e-09	-1.20312e-11
162	395	1.01366	2.12459e-05	1.01783e-06	-5.06093e-09	5.24494e-12
163	385	1.0006	0.000468868	-3.33049e-06	1.18496e-08	-1.6479e-11
164	355	1.01351	-8.60485e-06	1.25971e-06	-5.41409e-09	5.1679e-12
165	415	1.00652	0.000401708	-3.39047e-06	1.25863e-08	-1.66005e-11
166	395	1.00909	0.000202507	-9.6562e-07	3.52932e-09	-6.40746e-12
167	375	1.01042	0.000203707	-8.0536e-07	2.74957e-09	-5.75374e-12
168	445	1.01055	6.2422e-05	8.9582e-07	-4.94899e-09	5.78664e-12
169	445	1.00923	0.000213265	-1.28975e-06	4.69333e-09	-7.01457e-12
170	475	1.00983	0.000137813	-5.12948e-07	1.51023e-09	-2.68775e-12
171	425	1.00019	0.000506037	-3.77681e-06	1.25452e-08	-1.54966e-11
172	385	1.01226	6.71285e-05	-1.01462e-07	1.90772e-09	-6.0362e-12
173	475	1.00877	0.000189769	-9.64974e-07	3.34674e-09	-4.97702e-12
174	445	1.00372	0.000465697	-3.02734e-06	8.13297e-09	-8.72757e-12
175	455	1.00125	0.000494643	-3.24323e-06	8.79142e-09	-9.55991e-12
176	505	1.00245	0.000390729	-2.16352e-06	5.09493e-09	-4.90871e-12
177	515	1.0058	0.000297675	-1.93106e-06	5.6191e-09	-6.3215e-12
178	505	1.01299	-8.99e-06	6.37082e-07	-2.21079e-09	1.75999e-12
179	495	1.00835	0.00021312	-1.36474e-06	4.32703e-09	-5.38321e-12
180	475	1.00692	0.00017691	-7.77741e-07	1.44781e-09	-1.61485e-12
181	535	1.0086	0.000103586	-3.13365e-07	5.69939e-10	-9.22625e-13
182	475	1.00582	0.000197872	-9.73968e-07	2.51469e-09	-3.00317e-12
183	455	1.00177	0.000287046	-2.05126e-06	7.01843e-09	-7.82392e-12
184	565	1.00638	0.000138605	-4.37172e-07	4.85728e-10	-4.31446e-13
185	565	1.00651	0.00012238	-3.99124e-07	6.86222e-10	-8.81315e-13
186	545	1.00715	9.66344e-05	-1.72761e-07	-2.4271e-10	2.91526e-13
187	505	1.01074	6.70694e-05	-1.3606e-07	3.41753e-10	-8.97333e-13
188	535	1.00598	0.000159926	-8.2239e-07	2.23929e-09	-2.71014e-12
189	535	1.00491	0.000116448	-2.6963e-07	-2.77352e-10	4.48292e-13
190	565	1.00332	0.000166382	-5.93018e-07	8.89269e-10	-8.68055e-13
191	545	1.00513	0.000176393	-1.01354e-06	2.62364e-09	-2.65873e-12
192	325	1.00384	0.000573004	-5.24151e-06	2.17326e-08	-3.29675e-11
193	335	1.02388	-0.000495624	8.73527e-06	-4.25605e-08	6.14991e-11
194	345	1.00985	0.000143665	5.65595e-07	-5.42042e-09	7.39803e-12
195	305	1.00618	0.000322848	-1.65855e-06	5.14395e-09	-9.82348e-12
196	275	1.00272	0.000498268	-3.31608e-06	7.53548e-09	-5.93008e-12
197	345	1.00809	0.000209149	4.8364e-08	-3.77496e-09	5.68444e-12
198	305	1.00107	0.000674073	-7.18859e-06	3.41939e-08	-5.86286e-11
199	315	1.00356	0.000713499	-5.77185e-06	1.9696e-08	-2.65939e-11
200	355	1.01861	9.52689e-06	7.525e-07	-1.92704e-09	-1.43903e-12
201	315	1.01875	0.000228308	-1.82103e-06	8.59739e-09	-1.74082e-11
202	355	1.00777	0.00043212	-3.70683e-06	1.51437e-08	-2.35406e-11
203	0	1.00000	0.00000	0.00000	0.00000	0.00000
204	295	1.00755	0.000726123	-8.92177e-06	4.43229e-08	-7.70603e-11
205	295	1.01195	0.000237059	-2.16429e-06	1.4625e-08	-2.90966e-11
206	255	1.01947	-0.000295459	6.26073e-06	-3.15988e-08	5.6678e-11
207	325	1.01418	-2.4076e-05	3.01771e-06	-1.89293e-08	2.99555e-11
208	335	1.01138	0.000102715	8.20754e-07	-6.08867e-09	7.49256e-12
209	345	1.01471	-5.4679e-06	1.90372e-06	-1.08151e-08	1.4801e-11
210	365	1.00341	0.000397795	-2.81541e-06	1.03076e-08	-1.61639e-11
211	315	1.0059	0.000457214	-4.39052e-06	1.82697e-08	-2.76747e-11
212	325	1.00435	0.000511821	-5.26129e-06	2.4682e-08	-4.36345e-11
213	335	1.01408	0.000124933	-7.08455e-07	3.63544e-09	-8.83527e-12
214	345	1.00114	0.000657037	-5.53607e-06	1.90473e-08	-2.63685e-11
215	345	1.00118	0.000648023	-5.27523e-06	1.77047e-08	-2.52067e-11
216	385	1.00347	0.000565105	-4.5197e-06	1.57682e-08	-2.14917e-11
217	395	1.00236	0.000499222	-3.29816e-06	9.47119e-09	-1.19591e-11
218	415	1.01184	0.000178016	-1.50133e-06	6.91502e-09	-1.12781e-11
219	355	0.998418	0.00061658	-5.54036e-06	2.22111e-08	-3.33837e-11
220	355	1.00617	0.000333877	-2.70899e-06	1.02022e-08	-1.59721e-11
221	425	1.01257	1.78439e-05	7.4806e-07	-2.73044e-09	1.33227e-12
222	395	1.00545	0.000314992	-2.47329e-06	9.84376e-09	-1.53821e-11
223	405	1.0097	0.000248225	-2.16249e-06	8.05721e-09	-1.21902e-11
224	465	1.00997	0.000167753	-1.12533e-06	4.31659e-09	-6.60064e-12
225	445	1.00724	0.00020775	-9.93899e-07	2.55734e-09	-3.5208e-12
226	465	1.00304	0.000320465	-2.24386e-06	6.9041e-09	-8.09214e-12
227	415	1.00918	0.000124351	-4.41507e-07	7.71526e-10	-1.89203e-12
228	395	1.00302	0.000319271	-2.06149e-06	6.00722e-09	-7.70849e-12
229	465	1.00268	0.000289475	-1.73694e-06	4.90704e-09	-5.69389e-12
230	445	0.999406	0.000383262	-2.61715e-06	8.09203e-09	-9.5634e-12
231	455	0.998261	0.000439706	-3.19516e-06	9.86596e-09	-1.12281e-11
232	515	1.00081	0.000262159	-1.4711e-06	3.95791e-09	-4.54561e-12
233	485	1.00568	0.000147876	-5.02237e-07	6.20478e-10	-6.55849e-13
234	525	1.00482	0.000200132	-1.07354e-06	2.42928e-09	-2.38014e-12
235	495	1.00443	0.000271599	-1.7164e-06	4.79177e-09	-5.48098e-12
236	495	1.00501	0.000193609	-1.09958e-06	3.33483e-09	-4.25468e-12
237	535	1.0047	0.0001029	-9.82499e-08	-4.06359e-10	4.10196e-13
238	465	1.00249	0.000260674	-1.66103e-06	5.01414e-09	-5.75191e-12
239	475	1.00564	7.47083e-05	3.57499e-07	-1.93754e-09	1.59567e-12
240	275	1.00651	0.000500324	-3.86776e-06	1.15373e-08	-1.34485e-11
241	275	1.0157	6.98007e-05	-2.32854e-07	3.13961e-09	-1.55019e-11
242	285	1.0057	0.000581704	-5.90795e-06	2.59997e-08	-4.37866e-11
243	235	1.00336	0.000651299	-6.85293e-06	3.35178e-08	-6.6621e-11
244	265	1.00945	0.000208935	-3.20657e-07	-6.23285e-10	-8.22418e-12
245	285	1.00373	0.000339297	-1.49043e-06	3.77923e-09	-1.20433e-11
246	265	1.0119	0.000185144	-9.20961e-07	4.65212e-09	-2.10079e-11
247	265	1.02905	-0.000480571	8.27959e-06	-5.3743e-08	1.06719e-10
248	295	0.98489	0.00125251	-1.27789e-05	5.37214e-08	-8.2033e-11
249	275	1.02509	-0.000585553	9.89435e-06	-5.25433e-08	8.13851e-11
250	285	1.00304	0.000555076	-5.60772e-06	2.52148e-08	-4.40445e-11
251	285	1.01807	5.5068e-05	4.79708e-07	-7.15257e-09	1.10864e-11
252	255	1.01006	0.00045512	-5.21087e-06	2.18889e-08	-3.80007e-11
253	295	1.01065	0.000333984	-3.62073e-06	2.17587e-08	-4.74967e-11
254	275	0.996879	0.00110113	-1.33351e-05	6.57622e-08	-1.18529e-10
255	265	0.998488	0.000924745	-1.04664e-05	5.01538e-08	-9.25347e-11
256	305	1.0162	0.000123251	5.39846e-07	-6.9605e-09	8.24903e-12
257	315	1.01147	0.000283435	-2.72849e-06	1.25461e-08	-2.77181e-11
258	315	1.02411	-0.000380381	5.9669e-06	-2.74467e-08	3.4077e-11
259	275	1.01123	0.000246139	-2.5943e-06	1.44677e-08	-3.59249e-11
260	285	1.02545	-0.000630488	1.0452e-05	-5.66946e-08	9.20005e-11
261	305	1.01609	-2.62377e-05	1.2372e-06	-4.7008e-09	1.18082e-12
262	295	1.01391	8.63318e-05	-1.0756e-07	4.91747e-10	-7.608e-12
263	295	1.01573	0.000281393	-2.94167e-06	1.46448e-08	-3.07729e-11
264	315	1.02612	-0.000131906	2.91689e-06	-1.62821e-08	2.44668e-11
265	0	1.00000	0.00000	0.00000	0.00000	0.00000
266	355	1.01741	0.000102733	5.16356e-07	-5.925e-09	8.26638e-12
267	0	1.00000	0.00000	0.00000	0.00000	0.00000
268	315	1.02346	-6.11316e-05	1.90046e-06	-1.41991e-08	2.33289e-11
269	355	1.01059	0.000180665	-1.04007e-06	2.79017e-09	-5.1152e-12
270	335	1.00632	0.000230202	-1.66471e-06	6.90509e-09	-1.47782e-11
271	335	1.01349	-5.7223e-06	1.01263e-06	-4.56491e-09	2.77557e-12
272	375	0.993862	0.000655384	-5.58557e-06	2.02187e-08	-2.74578e-11
273	385	1.01124	0.000138462	-1.27062e-06	5.67965e-09	-9.89785e-12
274	425	1.00784	0.00018055	-1.04678e-06	3.46145e-09	-5.91676e-12
275	365	1.00839	0.000285915	-2.62901e-06	1.05539e-08	-1.75964e-11
276	345	0.999728	0.000459968	-4.25474e-06	1.7788e-08	-2.87074e-11
277	405	1.00983	7.94035e-05	-2.20459e-08	1.30486e-10	-2.25982e-12
278	385	1.00948	0.0001278	-6.18311e-07	2.45625e-09	-5.58268e-12
279	385	1.00563	0.000223904	-1.25071e-06	3.6353e-09	-5.60036e-12
280	445	1.00492	0.000179782	-7.75884e-07	1.69366e-09	-2.27721e-12
281	425	1.00462	0.000160276	-4.5931e-07	1.23317e-10	6.84845e-14
282	445	1.00308	0.00016854	-7.02281e-07	2.05426e-09	-3.15518e-12
283	395	1.00534	0.000197679	-1.14359e-06	3.80859e-09	-5.72296e-12
284	405	0.996376	0.000501475	-3.95345e-06	1.39524e-08	-1.92353e-11
285	465	0.999588	0.000316352	-2.08276e-06	6.33731e-09	-7.38492e-12
286	425	1.00164	0.000220707	-8.94014e-07	1.75613e-09	-2.36976e-12
287	405	1.00386	0.000145756	-6.4176e-08	-1.64815e-09	1.89189e-12
288	425	1.00133	0.000421584	-2.64606e-06	8.46093e-09	-1.09995e-11
289	385	1.00184	0.000490814	-3.64613e-06	1.2893e-08	-1.73025e-11
290	315	0.989572	0.000983362	-1.024e-05	4.39738e-08	-6.72739e-11
291	365	1.0007	0.000484604	-3.81259e-06	1.4246e-08	-1.98817e-11
292	355	1.00345	0.000432485	-3.8231e-06	1.59858e-08	-2.44803e-11
293	345	1.01379	0.000141987	-1.72336e-08	-2.13788e-09	1.6635e-12
294	335	1.00351	0.000475424	-3.49543e-06	1.27862e-08	-2.00952e-11
295	315	0.994956	0.00100959	-1.16047e-05	5.36613e-08	-8.50937e-11
296	305	1.00778	0.000412569	-4.18364e-06	1.87082e-08	-3.00656e-11
297	305	1.00036	0.000706975	-7.152e-06	3.23805e-08	-5.46834e-11
298	255	1.01375	8.14394e-06	4.20238e-06	-3.90545e-08	8.8553e-11
299	305	0.995692	0.000851212	-8.74413e-06	3.73737e-08	-5.91144e-11
300	295	0.990283	0.00105834	-1.20832e-05	5.79489e-08	-9.80591e-11
301	265	1.0404	-0.000957868	1.40933e-05	-7.57125e-08	1.32208e-10
302	275	1.00247	0.000506927	-4.47964e-06	2.08755e-08	-4.11866e-11
303	245	1.00863	0.000326354	-4.17081e-06	2.59874e-08	-5.11628e-11
304	275	0.998382	0.000687963	-5.87587e-06	2.07893e-08	-2.88424e-11
305	265	0.983685	0.00173419	-2.45577e-05	1.35011e-07	-2.53099e-10
306	275	1.02056	-0.000154937	4.89627e-06	-3.55441e-08	7.00096e-11
307	275	0.989695	0.00130739	-1.54819e-05	7.37796e-08	-1.27731e-10
308	255	1.00169	0.00114369	-1.60843e-05	8.25563e-08	-1.46652e-10
309	265	1.0171	-0.000232307	7.33204e-06	-4.64969e-08	7.53428e-11
310	205	1.03911	-0.00020421	4.74167e-06	6.16977e-09	-1.14043e-10
311	0	1.00000	0.00000	0.00000	0.00000	0.00000
312	265	0.994393	0.00119905	-1.50579e-05	7.47723e-08	-1.32645e-10
313	245	1.01606	0.000382284	-2.30571e-06	-2.14469e-09	1.00859e-11
314	255	1.00592	0.000670327	-9.91395e-06	5.45596e-08	-1.09828e-10
315	0	1.00000	0.00000	0.00000	0.00000	0.00000
316	0	1.00000	0.00000	0.00000	0.00000	0.00000
317	215	1.01364	0.000729566	-1.43588e-05	1.00866e-07	-2.43513e-10
318	0	1.00000	0.00000	0.00000	0.00000	0.00000
319	0	1.00000	0.00000	0.00000	0.00000	0.00000
320	265	1.01081	0.000627718	-8.70949e-06	4.89988e-08	-1.13487e-10
321	245	1.01402	0.000739836	-1.41465e-05	9.489e-08	-2.19932e-10
322	255	1.01682	3.42783e-05	-6.78166e-07	1.34298e-08	-5.40487e-11
323	235	1.01483	0.0007121	-1.37445e-05	9.29927e-08	-2.17077e-10
324	255	1.00005	0.000963375	-1.57719e-05	9.72062e-08	-2.07802e-10
325	245	0.999563	0.000790957	-1.09286e-05	6.44362e-08	-1.41582e-10
326	255	0.999364	0.000690132	-5.4446e-06	6.91014e-09	1.37518e-11
327	255	0.996335	0.000999113	-1.45593e-05	8.65904e-08	-1.85126e-10
328	255	1.01399	-0.000147962	5.50728e-06	-4.15713e-08	8.86772e-11
329	285	1.01738	-0.000354138	9.24153e-06	-6.01113e-08	1.08677e-10
330	295	0.990276	0.00119949	-1.41362e-05	6.40867e-08	-1.04227e-10
331	275	1.00255	0.00058705	-6.98493e-06	3.35634e-08	-6.44207e-11
332	295	0.996804	0.000894611	-1.21197e-05	6.19225e-08	-1.11355e-10
333	275	1.0143	0.000120542	-3.06379e-07	-4.4653e-09	1.20046e-11
334	285	1.00109	0.000708932	-8.32424e-06	3.46802e-08	-5.09274e-11
335	305	1.00603	0.00028013	-2.61761e-06	1.3233e-08	-2.73326e-11
336	335	1.00228	0.000530522	-4.88338e-06	2.13682e-08	-3.40546e-11
