1446.0	1453.5	0.019096	0.002656	-0.001247	0.000296	-0.000513
1453.0	1460.0	0.028265	0.004315	0.004206	0.000529	-0.000943
1460.0	1466.5	0.032183	0.003496	0.004129	-0.001322	0.002009
1466.5	1473.0	0.035816	0.003067	0.003734	-0.001306	0.001269
1473.0	1486.0	0.041457	0.004501	0.002089	-0.001549	-0.001318
1486.0	1499.0	0.043975	0.005046	-0.00086	-0.001077	-0.001631
1499.0	1512.0	0.047897	0.006532	-0.00193	-0.002498	-0.001342
1512.0	1525.0	0.049836	0.006777	-0.00419	-0.002410	0.000499
1525.0	1538.0	0.051765	0.007672	-0.00384	-0.001961	0.000541
1538.0	1551.0	0.054303	0.009115	-0.00637	-0.003441	-0.002191 
1551.0	1564.0	0.055844	0.010929	-0.00834	-0.005382	-0.000738
1564.0	1577.0	0.057338	0.010903	-0.01098	-0.004421	-0.000640
